dataset,frame,valid_px,retained_le_1px,retained_le_1px_ratio,retained_le_2px,retained_le_2px_ratio,retained_le_3px,retained_le_3px_ratio,retained_le_5px,retained_le_5px_ratio,retained_le_10px,retained_le_10px_ratio
dataset_4,keyframe_2/frame_000080,779192,10043,0.012888992700130391,25599,0.03285326338052752,46099,0.05916256840419306,104688,0.13435456216182917,281872,0.3617490939332026
dataset_3,keyframe_2/frame_000600,497653,133702,0.2686651140453288,244289,0.49088220105173686,312688,0.628325359236255,449968,0.9041802219618891,488628,0.9818648737172286
dataset_6,keyframe_2/frame_000300,514458,3089,0.006004377422452367,7120,0.01383980810872802,12473,0.024244933502832106,30639,0.05955588211282554,194559,0.3781824755373617
dataset_3,keyframe_1/frame_000070,886050,187390,0.21148919361209864,335109,0.3782055188759099,454323,0.5127509734213644,634747,0.7163783082218836,771472,0.8706867558264206
dataset_2,keyframe_4/frame_001310,367067,478,0.001302214582079021,2217,0.006039769306420899,10021,0.027300193152748682,101253,0.27584337464277636,365270,0.9951044359749037
dataset_4,keyframe_1/frame_000600,546321,28143,0.051513670534356175,57265,0.10481932783107367,85742,0.1569443605499331,144337,0.26419815456480716,281179,0.5146772684923333
dataset_3,keyframe_2/frame_000050,711610,174673,0.245461699526426,330667,0.464674470566743,439336,0.6173831171568697,584285,0.8210747459985104,663702,0.9326766065682045
dataset_1,keyframe_3/frame_000250,749291,282785,0.37740343871740084,530845,0.7084630670860854,665041,0.8875603737399755,735128,0.9810981314335819,748774,0.9993100144002798
dataset_5,keyframe_2/frame_001520,414164,10816,0.02611525868979438,21762,0.05254440270037956,32693,0.07893732917395041,54912,0.132585159502033,116107,0.280340638008132
dataset_4,keyframe_2/frame_000420,660003,1,1.5151446281304782e-06,5,7.575723140652391e-06,6,9.090867768782869e-06,8,1.2121157025043826e-05,31,4.6969483472044826e-05
dataset_3,keyframe_1/frame_000180,736446,61940,0.0841066418990666,127238,0.1727730206966974,193521,0.2627769042129362,307524,0.41757847825909844,517596,0.7028295353630816
dataset_5,keyframe_2/frame_001510,415085,444,0.001069660430996061,936,0.0022549598275052097,1440,0.0034691689653926303,2352,0.005666309310141297,5318,0.012811833720804173
dataset_3,keyframe_2/frame_000180,424714,106051,0.24969979798170064,207198,0.48785300225563555,272260,0.6410431490367635,328503,0.7734687342541098,408757,0.9624288344627208
dataset_3,keyframe_1/frame_000110,838143,93988,0.11213838211379204,186409,0.22240715486498128,276433,0.3298160337794386,438208,0.5228320226977974,670031,0.7994232487773566
dataset_6,keyframe_3/frame_000080,635892,140079,0.2202874072955785,270141,0.42482213960861276,382742,0.6018978065457656,532011,0.8366373535128607,623223,0.9800768054952728
dataset_1,keyframe_3/frame_000220,843964,382836,0.45361650496940625,644868,0.7640942030702731,773830,0.9168992990222332,835548,0.990028010673441,843935,0.9999656383447635
dataset_5,keyframe_2/frame_000050,471881,24470,0.0518562942775827,49555,0.10501588324174951,74830,0.15857811609282849,121401,0.2572703711317048,217460,0.4608365244627353
dataset_5,keyframe_3/frame_000300,472229,2206,0.004671462362540208,4827,0.0102217356409708,7780,0.016475057652113698,16133,0.034163509653155566,40164,0.08505195572487077
dataset_6,keyframe_4/frame_000770,424596,37047,0.08725235282480287,79761,0.18785151061244101,133990,0.31557056590264626,253039,0.5959523876814666,402634,0.9482755372165541
dataset_5,keyframe_3/frame_000870,264160,2436,0.009221683827983041,4932,0.018670502725620836,7731,0.029266353725015144,13934,0.052748334342822535,29304,0.11093276801938219
dataset_6,keyframe_3/frame_001020,285024,120250,0.42189429662063543,232172,0.8145700011227125,271117,0.9512076176041315,283877,0.9959757774783878,284971,0.9998140507466038
dataset_1,keyframe_3/frame_000420,443639,97195,0.21908578821970115,191373,0.4313710020985531,273393,0.6162510509671152,385057,0.8679511945523275,440960,0.9939613063774826
dataset_3,keyframe_4/frame_000450,362139,174725,0.4824804840130447,263277,0.7270053763886243,305464,0.8434993193221387,344460,0.9511817285627894,358407,0.9896945647941813
dataset_3,keyframe_3/frame_000140,568503,191777,0.3373368302366039,323446,0.5689433477044097,407021,0.7159522465140905,492264,0.8658951667801226,559570,0.984286802356364
dataset_4,keyframe_1/frame_000220,640794,0,0.0,0,0.0,0,0.0,0,0.0,61,9.51943994481846e-05
dataset_2,keyframe_4/frame_000810,280372,175801,0.6270276632473999,217003,0.7739824233518325,259085,0.9240758706290214,270420,0.9645043014281026,278475,0.993233989128729
dataset_3,keyframe_2/frame_000350,610178,193101,0.31646667038142967,303304,0.49707462412607467,378296,0.6199764658837257,476935,0.781632572790235,580466,0.951306012343939
dataset_5,keyframe_2/frame_000480,579645,34805,0.06004537259874578,76496,0.13197043017709115,127886,0.22062814308757947,209334,0.36114173330227983,297011,0.5124015561248695
dataset_2,keyframe_2/frame_000890,310594,43249,0.1392460897506069,87829,0.2827775166294262,127413,0.41022363600069545,192601,0.6201053465295531,263290,0.8476982813576566
dataset_3,keyframe_4/frame_000280,327310,106359,0.32494882527267727,204952,0.6261709083132199,269993,0.8248846659130488,311336,0.951196113775931,324644,0.9918548165347836
dataset_5,keyframe_2/frame_001320,455586,11911,0.02614435035317152,23905,0.05247088365314123,36508,0.08013415688805187,61522,0.13503926810744843,115769,0.2541100911792724
dataset_5,keyframe_3/frame_000120,575127,12018,0.02089625421863345,23897,0.04155082268785851,35679,0.06203673275641728,58355,0.1014645460915589,105354,0.1831838880803718
dataset_3,keyframe_2/frame_001510,474228,119615,0.2522309943740142,233105,0.4915462604485606,315465,0.6652179964067917,409764,0.8640653862698955,459630,0.9692173384954073
dataset_2,keyframe_2/frame_000750,297269,67706,0.2277600422512943,123167,0.4143284365339137,162452,0.5464814696453381,212886,0.7161392543453908,264858,0.8909708042210926
dataset_5,keyframe_2/frame_000370,454572,62,0.00013639203470517322,120,0.00026398458330033526,171,0.00037617803120297777,300,0.0006599614582508381,797,0.0017532976074197267
dataset_3,keyframe_4/frame_000780,364094,154018,0.42301713293819726,262770,0.7217092289353848,308837,0.8482342471998989,341073,0.9367718226611809,359386,0.9870692733195274
dataset_3,keyframe_3/frame_000080,621124,275511,0.4435684340002962,411555,0.6625971625633529,482605,0.776986559849563,565574,0.9105653621499089,615684,0.9912416844301621
dataset_6,keyframe_1/frame_000540,634012,166955,0.2633309779625622,304795,0.480740112174533,418661,0.6603360819669029,563956,0.889503668700277,633215,0.9987429260014006
dataset_4,keyframe_2/frame_000100,696872,0,0.0,0,0.0,0,0.0,1,1.4349837559838822e-06,1,1.4349837559838822e-06
dataset_3,keyframe_4/frame_000190,366321,119730,0.3268444888499431,221316,0.6041586477433726,290883,0.794065860270091,336636,0.9189645147288853,354042,0.9664802181693105
dataset_2,keyframe_4/frame_000220,466062,98475,0.2112916307272423,183260,0.3932094871497784,272235,0.5841175637576117,390806,0.838527921177869,421534,0.9044590633864164
dataset_6,keyframe_3/frame_000370,669567,49039,0.0732398699458008,110080,0.1644047571042181,169648,0.2533697150546547,273186,0.4080039786907061,440668,0.6581387672928922
dataset_6,keyframe_3/frame_001030,279430,72074,0.25793221916043374,201355,0.7205919192642164,260891,0.933654224671653,278625,0.9971191353827434,279385,0.9998389578785385
dataset_3,keyframe_1/frame_000200,710024,48176,0.06785122756413868,103487,0.14575141121990243,157952,0.22246008585625274,260702,0.36717350399423115,468452,0.6597692472367132
dataset_5,keyframe_3/frame_000400,369445,1267,0.003429468527114997,2711,0.007338034078144243,3315,0.008972918837716034,4060,0.01098945715871104,9301,0.025175601239697382
dataset_2,keyframe_4/frame_001300,326355,3827,0.01172649415513781,12372,0.03790963827733603,38774,0.11880927211165755,208279,0.6381976681834199,325371,0.9969848784299306
dataset_2,keyframe_4/frame_000140,457782,167038,0.3648854695029512,318974,0.6967814374527613,397571,0.8684723296241442,425625,0.9297547741064525,433187,0.9462735537876107
dataset_4,keyframe_1/frame_000070,945948,7718,0.008159010854719286,17576,0.018580302511343117,30008,0.03172267397362223,67747,0.07161810162926503,180779,0.19110881359229048
dataset_6,keyframe_3/frame_000590,361756,117602,0.3250865224073685,216307,0.5979361779763155,279349,0.7722028107343071,337038,0.9316721768263692,361581,0.9995162485211027
dataset_3,keyframe_3/frame_000150,572317,188012,0.3285102486908479,320031,0.5591848573430459,403376,0.7048121932425562,484004,0.8456921601140627,561083,0.9803710181595164
dataset_3,keyframe_4/frame_000200,358797,114643,0.31952050881138916,212213,0.59145700772303,284001,0.7915367185344359,334176,0.931379024908235,351140,0.9786592418554224
dataset_1,keyframe_1/frame_000070,773183,399545,0.5167534723344926,636175,0.8228000356965944,732149,0.9469284761822233,771750,0.9981466224684195,772665,0.9993300421763024
dataset_3,keyframe_3/frame_000180,497458,134733,0.27084296563730004,229661,0.46166912583574893,291351,0.5856795950612916,358110,0.7198798692552939,451533,0.9076806484165497
dataset_6,keyframe_1/frame_000370,584704,105131,0.17980208789404553,217461,0.3719163884632224,316971,0.5421050651269702,453919,0.776322720556042,564284,0.9650763463222417
dataset_6,keyframe_2/frame_000560,393588,12278,0.031195056759860566,26734,0.0679238188156143,45837,0.11645934327266075,98708,0.2507901663668608,270719,0.6878233076211673
dataset_3,keyframe_2/frame_001420,498125,231096,0.4639317440401506,343706,0.6899994981179423,390550,0.7840401505646173,459624,0.9227081555834379,490971,0.9856381430363864
dataset_2,keyframe_2/frame_000000,1111191,787752,0.70892582823295,981913,0.883658164977938,1033328,0.9299283381524869,1071954,0.9646892388437271,1105934,0.9952690401560128
dataset_4,keyframe_4/frame_000120,330540,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dataset_2,keyframe_4/frame_001320,358912,156,0.0004346469329529244,902,0.0025131508559201143,4646,0.0129446772467903,82475,0.2297917038159772,358513,0.9988883068830242
dataset_6,keyframe_4/frame_000810,461046,95538,0.2072201038508088,179712,0.3897919079657995,244387,0.5300707521592205,332728,0.7216806999735385,421937,0.9151733232692616
dataset_5,keyframe_2/frame_000500,508520,42551,0.08367615826319516,86275,0.1696590104617321,130875,0.25736450877054984,218274,0.4292338551089436,350034,0.6883387084087155
dataset_6,keyframe_2/frame_000790,361726,22447,0.06205525729419505,47758,0.13202810967417328,84349,0.2331847862746941,209716,0.5797647943471025,354220,0.9792494871809049
dataset_6,keyframe_1/frame_000020,947703,631654,0.6665104995974477,877129,0.925531522006367,928239,0.9794619200319087,943456,0.9955186382231564,947489,0.9997741908593726
dataset_5,keyframe_2/frame_000820,323415,424,0.0013110090750274414,946,0.002925034398528207,1727,0.005339888378708471,4236,0.013097722740132647,16443,0.0508417976902741
dataset_5,keyframe_3/frame_000570,478439,28252,0.0590503700576249,57025,0.11918969816423829,86671,0.18115371029535635,140066,0.2927562343370837,246737,0.5157125568776793
dataset_4,keyframe_1/frame_000110,863415,1428,0.0016538976042806762,3193,0.0036981057776387946,5296,0.006133782711673992,10962,0.012696096315213425,41306,0.047840262214578155
dataset_6,keyframe_3/frame_000010,1055940,554342,0.5249749038771142,822946,0.7793492054472791,926751,0.8776549803966135,1007633,0.954252135538004,1051072,0.9953898895770593
dataset_6,keyframe_1/frame_000300,631484,149958,0.2374691995363303,310657,0.4919475394467635,419904,0.6649479638438979,558610,0.8845988180223093,621025,0.9834374267598229
dataset_5,keyframe_2/frame_000170,562952,35856,0.06369281928121757,68166,0.12108670010942318,96106,0.1707179297702113,147118,0.26133311543435317,243464,0.43247736929613895
dataset_6,keyframe_3/frame_000040,770765,256822,0.3332040245729892,430769,0.5588850038598017,544488,0.7064254344709477,670837,0.8703521825718604,764203,0.9914863804142637
dataset_2,keyframe_2/frame_000730,317366,67307,0.2120800589855246,136728,0.43082119697762206,191316,0.6028244991587001,242260,0.7633457900342192,287532,0.9059949711059155
dataset_6,keyframe_1/frame_000610,496344,159806,0.32196621697854716,283513,0.5712026336573022,381013,0.7676389761939301,463707,0.934245200909047,495817,0.998938236384443
dataset_2,keyframe_4/frame_000060,501758,304357,0.6065812602888245,443446,0.8837846132996384,477768,0.9521881066171342,489132,0.9748364749540616,493324,0.9831911000920762
dataset_3,keyframe_4/frame_000650,355645,185445,0.5214328895387255,291319,0.819128625455159,331530,0.9321936200424581,346680,0.97479227881736,353346,0.9935356886783169
dataset_6,keyframe_3/frame_001560,637191,289257,0.45395650597701476,483839,0.7593311895491305,581244,0.9121974415834498,628028,0.9856196964489454,637084,0.999832075468737
dataset_6,keyframe_4/frame_000290,756665,216106,0.28560327225390364,406016,0.53658620393437,559503,0.7394329062398816,683301,0.9030429582444014,725762,0.9591589408787244
dataset_4,keyframe_1/frame_000260,521974,12293,0.023550981466509826,25752,0.049335790671566015,38392,0.07355155620778046,64950,0.12443148509312725,140444,0.26906321004494477
dataset_4,keyframe_2/frame_000110,680313,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dataset_1,keyframe_3/frame_000100,1086710,277626,0.2554738614717818,654401,0.602185495670418,892187,0.8209982424013766,1040671,0.9576345115072098,1086680,0.9999723937389
dataset_6,keyframe_2/frame_000170,306789,17099,0.05573537512753065,41485,0.13522323160217609,79137,0.25795253415213715,173332,0.5649876625302732,297549,0.9698815798480389
dataset_5,keyframe_2/frame_001120,406451,2536,0.006239374487945657,4859,0.011954700566611966,7311,0.017987408076250273,12100,0.029769886160939448,22340,0.05496357494507333
dataset_5,keyframe_2/frame_000110,431919,14702,0.0340387896804725,29225,0.06766314980355113,43235,0.10009978722862388,69144,0.1600855716002306,120436,0.2788393194094263
dataset_2,keyframe_4/frame_001050,489382,239109,0.48859377745810023,381914,0.7804005868626145,439486,0.8980428377014276,455793,0.9313644555786686,469256,0.9588746623292234
dataset_6,keyframe_3/frame_000450,357714,152734,0.4269723857606915,256077,0.7158707794495044,293285,0.8198868369703171,324438,0.9069759640383099,341622,0.9550143410657677
dataset_6,keyframe_3/frame_000820,355191,149091,0.41974881120298657,232120,0.653507549459305,281881,0.7936040046059726,346659,0.9759791210925952,355159,0.999909907627164
dataset_6,keyframe_2/frame_000620,366875,301,0.000820442930153322,901,0.00245587734241908,2064,0.005625894378194208,8805,0.024,68532,0.1867993185689949
dataset_4,keyframe_3/frame_000020,717924,0,0.0,0,0.0,1,1.3929050985898228e-06,2,2.7858101971796456e-06,2,2.7858101971796456e-06
dataset_1,keyframe_2/frame_000080,753353,467276,0.6202616834339281,649869,0.8626354444729097,714334,0.9482062193951574,742613,0.9857437350086878,750885,0.9967239793297432
dataset_3,keyframe_4/frame_000690,371412,237526,0.6395216094256513,340500,0.9167716713514911,357975,0.9638218474362702,366611,0.9870736540553348,371117,0.999205733794277
dataset_1,keyframe_2/frame_000010,960103,676863,0.7049899854494778,883987,0.9207210059754005,930644,0.969316833714716,952777,0.9923695686816936,957645,0.9974398580152338
dataset_4,keyframe_1/frame_000380,488337,24456,0.05008017004650477,48062,0.09841973882789959,70638,0.14465010842922,109438,0.2241034367660038,183350,0.3754579317151885
dataset_5,keyframe_2/frame_000830,408709,398,0.0009737979834062866,753,0.0018423866369470699,1144,0.002799057520142693,1956,0.00478580114457964,19637,0.04804640954811369
dataset_3,keyframe_2/frame_000410,469725,130431,0.2776752355101389,214008,0.4556027462877215,285003,0.6067443717068498,371178,0.7902027782212997,446695,0.9509713130022885
dataset_6,keyframe_3/frame_000890,302094,107983,0.3574483438929605,178508,0.5909021695233934,242045,0.8012241222930611,297776,0.9857064357451654,302042,0.9998278681470006
dataset_5,keyframe_3/frame_000070,667168,1317,0.001974015540313684,2420,0.0036272722912369898,3344,0.005012230802436568,4871,0.007301009640750156,9006,0.01349884886565303
dataset_6,keyframe_4/frame_000220,669668,174048,0.25990192154918557,333525,0.4980453000591338,453873,0.677758232437566,578508,0.8638728444542669,626950,0.9362101817617088
dataset_2,keyframe_4/frame_000030,592290,1266,0.002137466443802867,3323,0.0056104273244525485,7272,0.012277769335967179,17552,0.02963413192861605,432595,0.7303770112613753
dataset_5,keyframe_2/frame_000870,402914,18511,0.04594280665352904,39683,0.09849000034746869,63461,0.1575050755248018,109732,0.27234595968370423,175862,0.4364752776026646
dataset_6,keyframe_1/frame_000400,510337,96942,0.18995683244601116,196878,0.3857803764963152,290045,0.568340136027762,416578,0.8162802226763883,495903,0.9717167283579282
dataset_3,keyframe_1/frame_000210,702101,44303,0.06310060803217771,94862,0.13511161499556332,149258,0.21258764764613639,247034,0.35184966265537293,437500,0.6231297206527266
dataset_4,keyframe_1/frame_000690,466203,13940,0.029901137487317757,27954,0.059961004111942655,42142,0.09039409870807352,73225,0.15706677134209776,162440,0.3484319062725894
dataset_4,keyframe_4/frame_000150,336882,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dataset_6,keyframe_3/frame_000500,487166,53781,0.11039563516337347,125591,0.2577991895986173,241750,0.49623742215179223,383972,0.7881748726306844,464862,0.9542168377924568
dataset_1,keyframe_3/frame_000000,1078309,603729,0.5598849680379187,921646,0.8547141867498091,1030491,0.9556546407384154,1075799,0.9976722813219587,1078277,0.9999703239052998
dataset_6,keyframe_2/frame_000270,424344,57899,0.13644354580246215,116594,0.27476292819033615,172046,0.4054399260976943,266522,0.6280800482627302,389289,0.9173901363045076
dataset_2,keyframe_4/frame_001230,401771,129648,0.3226912843385909,234099,0.5826677385874043,299128,0.7445236216650779,367363,0.9143591747537777,401368,0.9989969410435298
dataset_3,keyframe_4/frame_000320,410527,186588,0.4545084732551087,304349,0.7413617131150936,358304,0.8727903402212278,390892,0.9521712335607646,404889,0.9862664331456883
dataset_2,keyframe_2/frame_000080,553369,317252,0.5733100336303624,469136,0.8477814984214873,515330,0.931259250156767,535575,0.967844241365165,547623,0.9896163319593255
dataset_6,keyframe_3/frame_001470,778466,175771,0.2257914924993513,363263,0.46663951925967223,538855,0.6922010723653955,725421,0.9318595802514176,777873,0.9992382454725062
dataset_6,keyframe_3/frame_000380,654110,140216,0.21436149883047195,271363,0.4148583571570531,400268,0.6119276574276498,554169,0.8472107137943159,648296,0.9911115867361758
dataset_6,keyframe_3/frame_001480,730796,141702,0.19390089710397976,280321,0.3835831066398831,425711,0.5825305557228009,623698,0.8534502104554486,728960,0.9974876709779473
dataset_3,keyframe_4/frame_000520,320864,69200,0.21566769721751272,158616,0.49434028124065027,211021,0.6576649296898375,264524,0.8244115887104817,313630,0.9774546225191981
dataset_5,keyframe_2/frame_001380,414476,42,0.00010133276715660255,84,0.0002026655343132051,133,0.00032088709599590806,241,0.0005814570686843147,475,0.0011460253428425288
dataset_2,keyframe_2/frame_000990,263604,34417,0.13056326914614347,66448,0.2520750823204504,94877,0.3599224594467459,152726,0.5793766407186537,233341,0.8851952170680263
dataset_6,keyframe_4/frame_000450,384032,102894,0.2679307974335472,210143,0.547201795683693,301070,0.7839711274060495,362976,0.9451712357303558,383120,0.997625197900175
dataset_6,keyframe_1/frame_000050,793412,478169,0.6026742726351505,697817,0.8795140481868184,765784,0.9651782428297025,790667,0.9965402590331379,793092,0.9995966786486719
dataset_3,keyframe_2/frame_001070,478970,143653,0.2999206630895463,229717,0.47960623838653776,291488,0.6085725619558636,398803,0.8326262605173602,473840,0.9892895170887529
dataset_3,keyframe_2/frame_000450,456184,156573,0.343223348473423,257891,0.5653223260789506,314870,0.690225873770233,373345,0.8184087999579117,432197,0.9474181470634656
dataset_6,keyframe_2/frame_000850,315948,37107,0.11744654183599833,75742,0.2397293225467482,120434,0.3811829794776356,228925,0.7245654348183879,310788,0.9836681985643208
dataset_1,keyframe_3/frame_000170,861349,369455,0.4289260218564136,643845,0.7474844691292379,768511,0.8922179047052937,856596,0.9944819115132194,861334,0.9999825854560694
dataset_1,keyframe_3/frame_000160,877785,384469,0.4379990544381597,656845,0.748298273495218,782105,0.8909983652033243,869198,0.9902174222617156,877765,0.9999772153773419
dataset_6,keyframe_2/frame_000320,611227,58841,0.09626701700023069,118325,0.19358601632454064,189000,0.30921408903729714,387700,0.6342978958717465,594615,0.9728218812323408
dataset_5,keyframe_4/frame_000410,433849,29,6.68435331186657e-05,51,0.00011755242031213625,77,0.0001774811051771469,142,0.0003273028173396735,657,0.001514351767550461
dataset_5,keyframe_3/frame_000180,478105,247,0.0005166229175599502,488,0.0010206962905637883,743,0.0015540519341985548,1300,0.002719067987157633,2605,0.0054485939281120254
dataset_5,keyframe_2/frame_000520,441993,11076,0.025059220394893132,22220,0.050272289380148556,33871,0.07663243535531106,57133,0.1292622281348347,129219,0.2923553087944832
dataset_3,keyframe_2/frame_001030,432273,131032,0.30312325775609394,256859,0.5942055136453122,321925,0.7447261337164246,395131,0.9140774464285302,426477,0.9865918065666835
dataset_5,keyframe_4/frame_000220,661219,1375,0.0020794925735648853,2744,0.004149910997717852,4168,0.006303509124813413,7273,0.010999381445481755,14834,0.022434322062735643
dataset_4,keyframe_1/frame_000240,584475,587,0.0010043201163437274,1126,0.0019265152487274904,1566,0.0026793276016938276,2609,0.004463835065657213,4838,0.008277514008298046
dataset_5,keyframe_3/frame_000420,363948,2638,0.007248288216998033,4753,0.013059557958829283,6898,0.018953257058700695,11794,0.03240572829085474,22709,0.0623962763911328
dataset_3,keyframe_4/frame_000140,375892,133628,0.35549572749619573,235333,0.6260654656124631,296171,0.7879151458397625,339995,0.904501824992285,362450,0.964239728432635
dataset_3,keyframe_4/frame_000740,374400,225602,0.6025694444444445,316774,0.8460844017094017,347289,0.927588141025641,364236,0.9728525641025642,373407,0.9973477564102564
dataset_5,keyframe_3/frame_001040,405080,3137,0.007744149303841217,5671,0.013999703762219809,7732,0.019087587637009972,12885,0.031808531648069516,26847,0.06627579737335836
dataset_2,keyframe_2/frame_000700,396562,109233,0.27544999268714604,184380,0.4649462126981405,235612,0.5941366041123456,305481,0.7703234298798171,376400,0.9491580131227904
dataset_4,keyframe_4/frame_000050,460371,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dataset_5,keyframe_3/frame_000560,459559,48331,0.10516821561540521,91561,0.19923665949312275,124919,0.2718236396197224,180374,0.39249367328242946,291760,0.6348695162101058
dataset_1,keyframe_3/frame_000120,1004042,178433,0.17771467727445664,490923,0.48894667752942605,769991,0.7668912256658585,957549,0.9536941681722477,1004001,0.9999591650548483
dataset_2,keyframe_4/frame_001030,480524,13402,0.02789038632825832,33450,0.06961150743771383,72880,0.15166776269239413,207614,0.43205750389158504,399865,0.8321436598380102
dataset_2,keyframe_3/frame_000180,292715,100240,0.34244913994841397,170979,0.5841142408144441,217486,0.742995746716089,256148,0.875076439540167,282222,0.9641528449174112
dataset_3,keyframe_4/frame_000430,347064,169256,0.48767950579720165,256961,0.7403850586635318,296169,0.8533555770693589,329266,0.9487183919968651,342882,0.9879503492151304
dataset_3,keyframe_2/frame_000740,450375,207615,0.46098251457119066,334545,0.7428143213988343,391153,0.8685051346100472,433175,0.9618096031085207,447305,0.9931834582292534
dataset_1,keyframe_2/frame_000250,693389,356452,0.5140721874734095,548805,0.7914821261946757,628760,0.9067925796342313,684432,0.9870822871432918,693361,0.9999596186267737
dataset_2,keyframe_2/frame_000070,606150,292499,0.4825521735544007,461672,0.7616464571475707,515804,0.8509510847150046,545111,0.8993005031757816,587499,0.9692303885176936
dataset_5,keyframe_2/frame_001340,445517,10710,0.02403948670870023,21137,0.04744375635497635,31832,0.07144957431478484,53439,0.11994828480170229,108438,0.24339811948814524
dataset_3,keyframe_4/frame_000170,368778,126308,0.3425041623958045,230389,0.6247362912104302,299011,0.8108157211113461,343813,0.9323034454332959,357196,0.9685935712000173
dataset_5,keyframe_3/frame_000980,411884,6425,0.015599052160316982,12973,0.031496732089617466,19595,0.04757407425391615,33984,0.08250866748890465,72803,0.1767560769537054
dataset_5,keyframe_2/frame_000920,450203,13727,0.03049068975551029,27746,0.061629975810911966,42311,0.09398204809830232,73230,0.1626599556200203,152944,0.3397223030499575
dataset_4,keyframe_4/frame_000060,424790,590,0.0013889215847830692,1151,0.0027095741425174793,1796,0.004227971468254902,2939,0.006918712775724476,5939,0.013981025918689235
dataset_3,keyframe_2/frame_001240,477770,139226,0.29140799966511083,259743,0.5436569897649497,334515,0.7001590723569918,399391,0.835948259622831,461531,0.9660108420369634
