dataset,frame,label,gt_source,valid_px,valid_pixel_ratio,raw_depth_mae_mm,raw_depth_rmse_mm,raw_depth_median_abs_error_mm,max_pred_depth_mm,p99_pred_depth_mm,p999_pred_depth_mm,min_pred_disp_px,p01_pred_disp_px,near_zero_disp_count_lt_0_1,near_zero_disp_count_lt_0_5,near_zero_disp_ratio_lt_0_1,near_zero_disp_ratio_lt_0_5,near_zero_lt_0_1_error_sum_mm,near_zero_lt_0_1_error_fraction
dataset_1,keyframe_1,dataset_1/keyframe_1,float32_npy,711538,0.5428604125976563,0.63401859998703,0.9224309325218201,0.5023059844970703,108.27763366699219,91.1002426147461,104.10298156738281,42.8732795715332,50.957244873046875,0,0,0.0,0.0,0.0,0.0
dataset_1,keyframe_2,dataset_1/keyframe_2,float32_npy,812104,0.619586181640625,0.8728062510490417,1.4506875276565552,0.6815509796142578,126.76305389404297,100.49095916748047,123.50808715820312,36.6212158203125,46.19537353515625,0,0,0.0,0.0,0.0,0.0
dataset_1,keyframe_3,dataset_1/keyframe_3,float32_npy,850214,0.6486618041992187,0.8450341820716858,6.185503005981445,0.6149978637695312,115.460205078125,111.60380554199219,114.6816635131836,40.20621109008789,41.59551239013672,0,0,0.0,0.0,0.0,0.0
dataset_1,keyframe_4,dataset_1/keyframe_4,float32_npy,670652,0.5116668701171875,0.5267224311828613,0.7340875864028931,0.4198932647705078,65.97820281982422,58.3996696472168,63.894569396972656,70.35986328125,79.49047088623047,0,0,0.0,0.0,0.0,0.0
dataset_1,keyframe_5,dataset_1/keyframe_5,float32_npy,661873,0.5049690246582031,0.6058281064033508,1.0613712072372437,0.4423370361328125,82.57791900634766,80.54389190673828,82.13642883300781,56.21620559692383,57.63587188720703,0,0,0.0,0.0,0.0,0.0
dataset_2,keyframe_1,dataset_2/keyframe_1,float32_npy,608423,0.4641899108886719,0.7598976492881775,1.170769214630127,0.6618728637695312,69.70283508300781,62.9195442199707,67.23163604736328,66.6001205444336,73.78021240234375,0,0,0.0,0.0,0.0,0.0
dataset_2,keyframe_2,dataset_2/keyframe_2,float32_npy,887191,0.6768730163574219,1.378747820854187,3.2313973903656006,1.1394119262695312,124.8979721069336,117.60099792480469,123.24223327636719,37.16807556152344,39.47430419921875,0,0,0.0,0.0,0.0,0.0
dataset_2,keyframe_3,dataset_2/keyframe_3,float32_npy,496833,0.37905349731445315,1.0792509317398071,2.12158203125,0.6684188842773438,81.07705688476562,80.37268829345703,80.92047119140625,57.25685501098633,57.758636474609375,0,0,0.0,0.0,0.0,0.0
dataset_2,keyframe_4,dataset_2/keyframe_4,float32_npy,635765,0.4850502014160156,0.3749208450317383,0.9170653223991394,0.3164558410644531,50.07505416870117,48.672969818115234,49.832359313964844,92.70518493652344,95.37567138671875,0,0,0.0,0.0,0.0,0.0
dataset_2,keyframe_5,dataset_2/keyframe_5,float32_npy,759702,0.5796066284179687,1.3056714534759521,2.567575693130493,0.9998397827148438,112.16996002197266,107.6166763305664,111.03192138671875,41.38556671142578,43.1365966796875,0,0,0.0,0.0,0.0,0.0
dataset_3,keyframe_1,dataset_3/keyframe_1,float32_npy,759440,0.57940673828125,1.2691195011138916,2.584101915359497,0.7346057891845703,159.54661560058594,155.4486541748047,158.4555206298828,29.09630584716797,29.86334991455078,0,0,0.0,0.0,0.0,0.0
dataset_3,keyframe_2,dataset_3/keyframe_2,float32_npy,733774,0.5598251342773437,0.9550864696502686,2.4835028648376465,0.4946861267089844,130.9488067626953,125.06370544433594,128.69932556152344,35.450626373291016,37.11882019042969,0,0,0.0,0.0,0.0,0.0
dataset_3,keyframe_3,dataset_3/keyframe_3,float32_npy,653728,0.4987548828125,1.1531827449798584,2.2562437057495117,0.7285995483398438,137.68630981445312,132.4458465576172,136.6977081298828,33.71589660644531,35.0499267578125,0,0,0.0,0.0,0.0,0.0
dataset_3,keyframe_4,dataset_3/keyframe_4,float32_npy,672805,0.5133094787597656,0.8893729448318481,4.902485370635986,0.3863067626953125,137.4371337890625,132.30227661132812,136.278076171875,33.77702331542969,35.08795928955078,0,0,0.0,0.0,0.0,0.0
dataset_3,keyframe_5,dataset_3/keyframe_5,float32_npy,657413,0.5015663146972656,1.5486831665039062,3.4488730430603027,0.8923263549804688,174.4448699951172,157.306396484375,165.66323852539062,26.611371994018555,29.510669708251953,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_1,dataset_4/keyframe_1,float32_npy,711639,0.5429374694824218,7.649903774261475,25.341726303100586,4.435146331787109,85.37024688720703,71.80933380126953,78.5656509399414,59.82586669921875,71.12374877929688,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_2,dataset_4/keyframe_2,float32_npy,803883,0.6133140563964844,6.698549270629883,9.96012020111084,3.6428756713867188,74.4478530883789,70.37516021728516,73.68550109863281,68.60304260253906,72.57318115234375,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_3,dataset_4/keyframe_3,float32_npy,699779,0.5338890075683593,4.809286594390869,8.210509300231934,2.1247024536132812,80.8138427734375,72.42334747314453,75.97820281982422,63.19894027709961,70.520751953125,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_4,dataset_4/keyframe_4,float32_npy,622708,0.4750885009765625,6.04550838470459,15.56102180480957,3.4577503204345703,53.973026275634766,51.91484832763672,53.02552032470703,94.6278076171875,98.37934875488281,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_5,dataset_4/keyframe_5,float32_npy,704671,0.5376213073730469,9.622410774230957,13.942927360534668,5.388454437255859,99.4481201171875,70.24089813232422,83.60962677001953,51.35691833496094,72.71189880371094,0,0,0.0,0.0,0.0,0.0
dataset_5,keyframe_1,dataset_5/keyframe_1,float32_npy,668804,0.5102569580078125,190939.28125,31225982.0,5.877681732177734,5107348992.0,181.0781707763672,360.0616760253906,0.0,28.205215454101562,31,47,4.635139741987189e-05,7.027469931399931e-05,127692087296.0,0.999930525690227
dataset_5,keyframe_2,dataset_5/keyframe_2,float32_npy,510158,0.38921966552734377,7.289977550506592,11.94589900970459,5.800165176391602,53.977237701416016,51.368167877197266,53.05577850341797,94.62042236328125,99.42634582519531,0,0,0.0,0.0,0.0,0.0
dataset_5,keyframe_3,dataset_5/keyframe_3,float32_npy,628468,0.4794830322265625,14.837127685546875,16.48275375366211,15.669355392456055,45.231685638427734,43.58993911743164,44.4563102722168,112.91529083251953,117.1680679321289,0,0,0.0,0.0,0.0,0.0
dataset_5,keyframe_4,dataset_5/keyframe_4,float32_npy,753032,0.574517822265625,4.597320079803467,17.83926773071289,4.437812805175781,60.96461868286133,51.47532653808594,57.17475509643555,83.77562713623047,99.21936798095703,0,0,0.0,0.0,0.0,0.0
dataset_5,keyframe_5,dataset_5/keyframe_5,float32_npy,716589,0.5467140197753906,6.969954967498779,9.162803649902344,6.376682281494141,31.28949737548828,29.978500366210938,30.440879821777344,163.22886657714844,170.3670654296875,0,0,0.0,0.0,0.0,0.0
dataset_6,keyframe_1,dataset_6/keyframe_1,float32_npy,828409,0.6320259094238281,1.3102160692214966,17.843461990356445,0.9202423095703125,141.39892578125,136.52108764648438,140.29454040527344,36.54680252075195,37.852603912353516,0,0,0.0,0.0,0.0,0.0
dataset_6,keyframe_2,dataset_6/keyframe_2,float32_npy,791544,0.603900146484375,0.6842231750488281,1.0759775638580322,0.5448226928710938,79.37318420410156,77.8971176147461,79.06941223144531,65.1061019897461,66.33979797363281,0,0,0.0,0.0,0.0,0.0
dataset_6,keyframe_3,dataset_6/keyframe_3,float32_npy,873766,0.6666305541992188,0.9286567568778992,8.797782897949219,0.6561050415039062,98.27387237548828,94.82987976074219,97.896728515625,52.5844612121582,54.49420166015625,0,0,0.0,0.0,0.0,0.0
dataset_6,keyframe_4,dataset_6/keyframe_4,float32_npy,873574,0.6664840698242187,1.2136883735656738,3.444416046142578,0.665802001953125,127.2624282836914,110.58599090576172,122.51773834228516,40.606475830078125,46.729957580566406,0,0,0.0,0.0,0.0,0.0
dataset_6,keyframe_5,dataset_6/keyframe_5,float32_npy,879832,0.671258544921875,1.7988104820251465,5.613949298858643,0.8517684936523438,119.45367431640625,116.73043060302734,118.85689544677734,43.26094436645508,44.27019119262695,0,0,0.0,0.0,0.0,0.0
dataset_7,keyframe_1,dataset_7/keyframe_1,float32_npy,613827,0.46831283569335935,1.4638752937316895,3.156437873840332,0.9075164794921875,158.7444610595703,153.70896911621094,156.2865753173828,32.553443908691406,33.61988830566406,0,0,0.0,0.0,0.0,0.0
dataset_7,keyframe_2,dataset_7/keyframe_2,float32_npy,521037,0.3975196838378906,0.9851797223091125,3.104077100753784,0.6733589172363281,130.48316955566406,107.91458129882812,126.29402923583984,39.60417938232422,47.886749267578125,0,0,0.0,0.0,0.0,0.0
dataset_7,keyframe_3,dataset_7/keyframe_3,float32_npy,528555,0.4032554626464844,0.5823438763618469,2.2590904235839844,0.3825187683105469,72.57884979248047,67.31592559814453,70.903564453125,71.20088958740234,76.76754760742188,0,0,0.0,0.0,0.0,0.0
dataset_7,keyframe_4,dataset_7/keyframe_4,float32_npy,720083,0.5493797302246094,0.780820906162262,1.6016548871994019,0.49153900146484375,103.11468505859375,88.8037338256836,102.64276885986328,50.11583709716797,58.192134857177734,0,0,0.0,0.0,0.0,0.0
dataset_7,keyframe_5,dataset_7/keyframe_5,float32_npy,793976,0.605755615234375,1.3974716663360596,158.8828125,0.6500625610351562,114.25489807128906,106.21405792236328,111.584228515625,45.22938537597656,48.65343475341797,0,0,0.0,0.0,0.0,0.0
dataset_8,keyframe_0,dataset_8/keyframe_0,float32_npy,793449,0.6053535461425781,1.660508155822754,2.2633461952209473,1.3402481079101562,141.56178283691406,137.01158142089844,140.9589080810547,34.18256759643555,35.31778335571289,0,0,0.0,0.0,0.0,0.0
dataset_8,keyframe_1,dataset_8/keyframe_1,float32_npy,852680,0.650543212890625,0.9117107391357422,1.3576421737670898,0.736358642578125,93.6745834350586,86.79730987548828,89.95695495605469,51.6569709777832,55.749942779541016,0,0,0.0,0.0,0.0,0.0
dataset_8,keyframe_2,dataset_8/keyframe_2,float32_npy,730550,0.5573654174804688,0.5043478012084961,3.323179244995117,0.37955284118652344,77.21179962158203,66.96586608886719,76.70258331298828,62.671058654785156,72.25987243652344,0,0,0.0,0.0,0.0,0.0
dataset_8,keyframe_3,dataset_8/keyframe_3,float32_npy,855406,0.6526229858398438,0.511749804019928,1.0102934837341309,0.387451171875,68.71170806884766,68.12944030761719,68.58756256103516,70.42388153076172,71.0257568359375,0,0,0.0,0.0,0.0,0.0
dataset_8,keyframe_4,dataset_8/keyframe_4,float32_npy,742705,0.5666389465332031,0.482425719499588,7.629991054534912,0.3105201721191406,90.13681030273438,69.90147399902344,76.31058502197266,53.684452056884766,69.22522735595703,0,0,0.0,0.0,0.0,0.0
dataset_9,keyframe_0,dataset_9/keyframe_0,float32_npy,831443,0.6343406677246094,2.8152077198028564,5.4112935066223145,1.8320465087890625,154.47447204589844,148.9534912109375,153.24913024902344,29.7025146484375,30.803442001342773,0,0,0.0,0.0,0.0,0.0
dataset_9,keyframe_1,dataset_9/keyframe_1,float32_npy,743370,0.5671463012695312,0.5875176787376404,1.492147445678711,0.3379402160644531,75.4451904296875,70.91722106933594,74.0683364868164,60.81607437133789,64.6990966796875,0,0,0.0,0.0,0.0,0.0
dataset_9,keyframe_2,dataset_9/keyframe_2,float32_npy,700805,0.5346717834472656,0.907774806022644,1.5467438697814941,0.6607170104980469,83.26984405517578,82.38006591796875,83.10111999511719,55.10134506225586,55.69648742675781,0,0,0.0,0.0,0.0,0.0
dataset_9,keyframe_3,dataset_9/keyframe_3,float32_npy,585911,0.44701461791992186,0.8886377215385437,2.8251030445098877,0.43653106689453125,84.68303680419922,73.8227767944336,83.47600555419922,54.18180847167969,62.15263366699219,0,0,0.0,0.0,0.0,0.0
dataset_9,keyframe_4,dataset_9/keyframe_4,float32_npy,589315,0.4496116638183594,0.3620275855064392,1.5368804931640625,0.28903770446777344,75.65984344482422,70.29493713378906,74.53022003173828,60.64353561401367,65.27184295654297,0,0,0.0,0.0,0.0,0.0
